cc_cb_code;cc_cm_code;cc_creadat;cc_majdate;cc_majsrc;cc_abddate;cc_abdsrc
FI000016326469;CM000000000092;;;;;
FI000016326471;CM000000000092;;;;;
FI000016326474;CM000000000092;;;;;
FI000016181798;CM000000000093;;;;;
FI000016181800;CM000000000094;;;;;
FI000016331598;CM000000000094;;;;;
FI000016329769;CM000000000095;;;;;
FI000016330918;CM000000000095;;;;;
FI000016331583;CM000000000096;;;;;
FI000017520035;CM000000000097;;;;;
FI000016329769;CM000000000098;;;;;
FI000016330917;CM000000000098;;;;;
FI000016329770;CM000000000099;;;;;
FI000016330922;CM000000000099;;;;;
FI000016331590;CM000000000100;;;;;
FI000044404930;CM000000000101;;;;;
FI000016329769;CM000000000102;;;;;
FI000016330920;CM000000000102;;;;;
FI000027686513;CM000000000103;;;;;
FI000016330924;CM000000000104;;;;;
FI000016331589;CM000000000105;;;;;
FI000016331590;CM000000000105;;;;;
FI000016331582;CM000000000106;;;;;
FI000016331590;CM000000000106;;;;;
FI000027686513;CM000000000107;;;;;
FI000016326473;CM000000000108;;;;;
FI000044404930;CM000000000109;;;;;
FI000016329775;CM000000000110;;;;;
FI000016331587;CM000000000111;;;;;
FI000016331596;CM000000000112;;;;;
FI000016329768;CM000000000113;;;;;
FI000016330924;CM000000000114;;;;;
FI000027686513;CM000000000115;;;;;
FI000016181798;CM000000000116;;;;;
FI000044404930;CM000000000117;;;;;
FI000016331590;CM000000000118;;;;;
FI000016326476;CM000000000119;;;;;
FI000016330916;CM000000000119;;;;;
FI000016331589;CM000000000120;;;;;
FI000016331590;CM000000000120;;;;;
FI000044404930;CM000000000121;;;;;
FI000044404929;CM000000000122;;;;;
FI000016330915;CM000000000123;;;;;
FI000044404929;CM000000000124;;;;;
FI000016181798;CM000000000125;;;;;
FI000016331555;CM000000000125;;;;;
FI000016331572;CM000000000125;;;;;
FI000016331598;CM000000000125;;;;;
FI000016181798;CM000000000126;;;;;
FI000016177447;CM000000000127;;;;;
FI000044404930;CM000000000128;;;;;
FI000044404930;CM000000000129;;;;;
FI000016331589;CM000000000130;;;;;
FI000016331590;CM000000000130;;;;;
