cb_code;cb_codeext;cb_abandon;cb_perirec;cb_etiquet;cb_nd1;cb_nd2;cb_bp1;cb_ba1;cb_bp2;cb_ba2;cb_r1_code;cb_r2_code;cb_r3_code;cb_fo_type;cb_prop;cb_gest;cb_proptyp;cb_statut;cb_dateins;cb_avct;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_cabphy;cb_lgreel;cb_r4_code;cb_user;cb_etat;cb_datemes;cb_tech;cb_diam;cb_color;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
FI000016330924;16330924;0;;PBO-SRO-BPI-11365657-002 / PBO-SRO-BPI-11365657-003 / BELLEGARDE;CH000004313275;CH000004319994;BL000008075040;;BL000008075346;;WIGA;ZN3010000266;ZS0000SRO-BPI-11365657;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-11-01 16-59-02;E;C;DI;FI000000000694;12;;;6;16330924;89.63;;;;;;;;;;;;;;
FI000016330917;16330917;0;;M-436/30034-FT / PBO-SRO-BPI-11365657-001 / BELLEGARDE;CH000004016629;CH000004312631;EN000012032195;;BL000008075039;;WIGA;ZN3010000266;ZS0000SRO-BPI-11365657;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-11-01 16-58-57;E;C;DI;FI000000000702;72;;;6;16330917;37.32;;;;;;;;;;;;;;
FI000016330921;16330921;0;;PBO-SRO-BPI-11365657-005 / PBO-SRO-BPI-11365657-006 / BELLEGARDE;CH000004313267;CH000004315842;BL000008074734;;BL000008074735;;WIGA;ZN3010000266;ZS0000SRO-BPI-11365657;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-11-01 16-58-59;E;C;DI;FI000000000702;72;;;6;16330921;47.97;;;;;;;;;;;;;;
FI000016181798;16181798;0;;M-223/30034-FT / M-456/30034-FT / BELLEGARDE;CH000003986241;CH000003985629;EN000012748360;;EN000011942263;;WIGA;ZN3010000266;;G657A;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-17 00-00-00;E;C;TR;FI000000000575;72;;;12;16181798;604.33;;;;;;;;;;;;;;
FI000016177447;16177447;0;;BPE-202/30034-FT / M-223/30034-FT / BELLEGARDE;CH000003986228;CH000003986241;EN000011933322;;EN000012748360;;WIGA;ZN3010000266;;G657A;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-17 00-00-00;E;C;TR;FI000000000508;288;;;12;16177447;303.6;;;;;;;;;;;;;;
FI000016330926;16330926;0;;PBO-SRO-BPI-11365657-008 / PBO-SRO-BPI-11365657-009 / BELLEGARDE;CH000004311672;CH000004311682;BL000008074733;;BL000008075348;;WIGA;ZN3010000266;ZS0000SRO-BPI-11365657;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-11-01 16-59-03;E;C;DI;FI000000000700;24;;;6;16330926;67.15;;;;;;;;;;;;;;
FI000016330918;16330918;0;;PBO-SRO-BPI-11365657-001 / PBO-SRO-BPI-11365657-002 / BELLEGARDE;CH000004312631;CH000004313275;BL000008075039;;BL000008075040;;WIGA;ZN3010000266;ZS0000SRO-BPI-11365657;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-11-01 16-58-57;E;C;DI;FI000000000702;72;;;6;16330918;60.69;;;;;;;;;;;;;;
FI000016330919;16330919;0;;PBO-SRO-BPI-11365657-002 / PBO-SRO-BPI-11365657-004 / BELLEGARDE;CH000004313275;CH000004314235;BL000008075040;;BL000008075347;;WIGA;ZN3010000266;ZS0000SRO-BPI-11365657;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-11-01 16-58-58;E;C;DI;FI000000000702;72;;;6;16330919;50.26;;;;;;;;;;;;;;
FI000017479078;17479078;0;;PBO-SRO-BPI-11365657-048 / PBO-SRO-BPI-11365657-046 / BELLEGARDE;CH000004310739;CH000004318398;BL000008075692;;BL000008075690;;WIGA;ZN3010000266;ZS0000SRO-BPI-11365657;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-11-01 16-59-31;E;C;DI;FI000000000706;48;;;6;17479078;41.55;;;;;;;;;;;;;;
FI000016331596;16331596;0;;PBO-SRO-BPI-11365657-039 / PBO-SRO-BPI-11365657-040 / BELLEGARDE;SU000000862095;CH000004321599;BL000008075683;;BL000008075684;;WIGA;ZN3010000266;ZS0000SRO-BPI-11365657;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-11-01 16-59-45;E;C;DI;FI000000000704;24;;;6;16331596;83.03;;;;;;;;;;;;;;
FI000016331559;16331559;0;;BPE-314/30034-FT / PBO-SRO-BPI-11365657-053 / BELLEGARDE;CH000003985914;CH000004312955;EN000012032196;;BL000008075049;;WIGA;ZN3010000266;ZS0000SRO-BPI-11365657;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-11-01 16-59-17;E;C;DI;FI000000000694;12;;;6;16331559;79.02;;;;;;;;;;;;;;
FI000016329772;16329772;0;;PBO-SRO-BPI-11365657-073 / PBO-SRO-BPI-11365657-072 / BELLEGARDE;CH000004312954;CH000004318715;BL000008075680;;BL000008075679;;WIGA;ZN3010000266;ZS0000SRO-BPI-11365657;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-11-01 16-59-10;E;C;DI;FI000000000700;24;;;6;16329772;48.92;;;;;;;;;;;;;;
FI000016331565;16331565;0;;BPE-314/30034-FT / BPE-454/30034-FT / BELLEGARDE;CH000003985914;CH000004919041;EN000012032196;;EN000014706739;;WIGA;ZN3010000266;ZS0000SRO-BPI-11365657;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-11-01 16-59-22;E;C;DI;FI000000000706;48;;;6;16331565;71.62;;;;;;;;;;;;;;
FI000016329773;16329773;0;;BPE-314/30034-FT / PBO-SRO-BPI-11365657-065 / BELLEGARDE;CH000003985914;CH000004919041;EN000012032196;;BL000008075717;;WIGA;ZN3010000266;ZS0000SRO-BPI-11365657;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-11-01 16-59-11;E;C;DI;FI000000000701;48;;;6;16329773;71.2;;;;;;;;;;;;;;
FI000016331583;16331583;0;;PBO-SRO-BPI-11365657-042 / PBO-SRO-BPI-11365657-043 / BELLEGARDE;CH000004319347;CH000004319046;BL000008075686;;BL000008075687;;WIGA;ZN3010000266;ZS0000SRO-BPI-11365657;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-11-01 16-59-35;E;C;DI;FI000000000702;72;;;6;16331583;67.53;;;;;;;;;;;;;;
