cs_code;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code;cs_nb_pas;cs_comment;cs_creadat;cs_majdate;cs_majsrc;cs_abddate;cs_abdsrc
CVHU0013076722;;0;P;Face A;CSV00000000001;;;;;;;
CVEN0011933320;EN000011933320;0;P;Face A;CSV00000000001;;;;;;;
CVEN0012032193;EN000012032193;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013076712;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076780;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076716;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076708;;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013076713;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076723;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076731;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076771;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076774;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076719;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076717;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076745;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076750;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076737;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076759;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076775;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076770;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076756;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076741;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076720;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076777;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076710;;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013076773;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076709;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076721;;0;P;Face A;CSV00000000001;;;;;;;
OP000014550141;;6;C;Face A;OP000000003313;;;;;;;
OP000014552390;;1;C;Face A;OP000000003313;;;;;;;
OP000014700232;;1;C;Face A;OP000000003293;;;;;;;
OP000014700233;;2;C;Face A;OP000000003293;;;;;;;
OP000014700234;;3;C;Face A;OP000000003293;;;;;;;
OP000014700235;;4;C;Face A;OP000000003293;;;;;;;
OP000014700236;;5;C;Face A;OP000000003293;;;;;;;
OP000014700237;;6;C;Face A;OP000000003293;;;;;;;
OP000014700238;;1;C;Face A;OP000000003293;;;;;;;
OP000014700239;;2;C;Face A;OP000000003293;;;;;;;
OP000014700240;;3;C;Face A;OP000000003293;;;;;;;
OP000014700241;;4;C;Face A;OP000000003293;;;;;;;
OP000014700242;;5;C;Face A;OP000000003293;;;;;;;
OP000014700243;;6;C;Face A;OP000000003293;;;;;;;
OP000014700244;;1;C;Face A;OP000000003293;;;;;;;
OP000014700245;;2;C;Face A;OP000000003293;;;;;;;
OP000014700246;;3;C;Face A;OP000000003293;;;;;;;
OP000014700247;;4;C;Face A;OP000000003293;;;;;;;
OP000014700280;;5;C;Face A;OP000000003293;;;;;;;
OP000014700281;;6;C;Face A;OP000000003293;;;;;;;
OP000014700282;;1;C;Face A;OP000000003293;;;;;;;
OP000014700283;;2;C;Face A;OP000000003293;;;;;;;
OP000014700284;;3;C;Face A;OP000000003293;;;;;;;
OP000014700285;;4;C;Face A;OP000000003293;;;;;;;
OP000014700286;;5;C;Face A;OP000000003293;;;;;;;
OP000014700287;;6;C;Face A;OP000000003293;;;;;;;
OP000014700288;;1;C;Face A;OP000000003293;;;;;;;
OP000014700289;;2;C;Face A;OP000000003293;;;;;;;
OP000014700290;;3;C;Face A;OP000000003293;;;;;;;
OP000014700291;;4;C;Face A;OP000000003293;;;;;;;
OP000014700292;;5;C;Face A;OP000000003293;;;;;;;
OP000014700293;;6;C;Face A;OP000000003293;;;;;;;
TR000014195347;EN000012032197;2;E;Face A;TR000000005600;;;;;;;
TR000014195308;EN000012032199;3;E;Face A;TR000000005600;;;;;;;
TR000056201686;EN000012748356;16;E;Face A;TR000000005600;;;;;;;
TR000014195298;EN000012032198;5;E;Face A;TR000000005600;;;;;;;
TR000014194938;EN000012032195;1;E;Face A;TR000000005600;;;;;;;
TR000014195266;EN000012032193;1;E;Face A;TR000000005600;;;;;;;
TR000014194941;EN000012032195;4;E;Face A;TR000000005600;;;;;;;
TR000014195324;EN000012032196;7;E;Face A;TR000000005600;;;;;;;
TR000014195346;EN000012032197;1;E;Face A;TR000000005600;;;;;;;
TR000014195311;EN000012032199;6;E;Face A;TR000000005600;;;;;;;
TR000047893822;EN000011933322;14;E;Face A;TR000000005600;;;;;;;
TR000014195330;EN000012032196;13;E;Face A;TR000000005600;;;;;;;
TR000014195255;EN000012032194;18;E;Face A;TR000000005600;;;;;;;
TR000049490290;EN000014706739;2;E;Face A;TR000000005600;;;;;;;
TR000014195250;EN000012032194;13;E;Face A;TR000000005600;;;;;;;
TR000014195301;EN000012032198;8;E;Face A;TR000000005600;;;;;;;
TR000056201687;EN000012748356;17;E;Face A;TR000000005600;;;;;;;
TR000014193245;EN000012032194;8;E;Face A;TR000000005600;;;;;;;
TR000014195329;EN000012032196;12;E;Face A;TR000000005600;;;;;;;
TR000014194940;EN000012032195;3;E;Face A;TR000000005600;;;;;;;
TR000014195268;EN000012032193;3;E;Face A;TR000000005600;;;;;;;
TR000014195249;EN000012032194;12;E;Face A;TR000000005600;;;;;;;
TR000014195313;EN000012032199;8;E;Face A;TR000000005600;;;;;;;
TR000014195321;EN000012032196;4;E;Face A;TR000000005600;;;;;;;
TR000014194944;EN000012032195;7;E;Face A;TR000000005600;;;;;;;
TR000014194939;EN000012032195;2;E;Face A;TR000000005600;;;;;;;
TR000014193264;EN000012032195;10;E;Face A;TR000000005600;;;;;;;
TR000014195334;EN000012032196;17;E;Face A;TR000000005600;;;;;;;
TR000014194942;EN000012032195;5;E;Face A;TR000000005600;;;;;;;
TR000014193238;EN000012032194;1;E;Face A;TR000000005600;;;;;;;
CVHU0013076779;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076736;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076781;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076735;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076740;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076727;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076772;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076739;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076729;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076744;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076728;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076715;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076724;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076733;;0;P;Face A;CSV00000000001;;;;;;;
CVBL0008075356;BL000008075356;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013076755;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076762;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076778;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076768;;0;P;Face A;CSV00000000001;;;;;;;
CVBL0008075357;BL000008075357;0;E;Face A;CSV00000000001;;;;;;;
CVHU0013076732;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076749;;0;P;Face A;CSV00000000001;;;;;;;
CVEN0012748360;EN000012748360;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076769;;0;P;Face A;CSV00000000001;;;;;;;
CVHU0013076764;;0;P;Face A;CSV00000000001;;;;;;;
