bp_code;bp_pt_code;bp_perirec;bp_etiquet;bp_codeext;bp_abandon;bp_lc_code;bp_prop;bp_gest;bp_proptyp;bp_statut;bp_dateins;bp_avct;bp_typephy;bp_typelog;bp_rf_code;bp_user;bp_etat;bp_occp;bp_datemes;bp_entrees;bp_ref_kit;bp_ca_nb;bp_nb_pas;bp_linecod;bp_oc_code;bp_racco;bp_comment;bp_creadat;bp_majdate;bp_majsrc;bp_abddate;bp_abdsrc
PTO00096192591;;;WI-B215-8157;96192591;0;PTO00096192591;PSIT0000000125;GSIT0000000140;CST;REC;2024-08-16 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00048026691;;;CT-2568-5990;48026691;0;PTO00048026691;PSIT0000000125;GSIT0000000140;CST;REC;2023-04-17 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00083359791;;;WI-B184-5295;83359791;0;PTO00083359791;PSIT0000000125;GSIT0000000140;CST;REC;2023-10-04 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00051237491;;;CT-2568-7222;51237491;0;PTO00051237491;PSIT0000000125;GSIT0000000140;CST;REC;2022-11-30 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00000290181;;;CT-2568-6210;290181;0;PTO00000290181;PSIT0000000125;GSIT0000000140;CST;REC;2023-07-26 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00016085541;;;CT-2568-6298;16085541;0;PTO00016085541;PSIT0000000125;GSIT0000000140;CST;REC;2020-08-06 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00092294181;;;WI-B202-6597;92294181;0;PTO00092294181;PSIT0000000125;GSIT0000000140;CST;REC;2024-03-28 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00067953061;;;WI-B174-1037;67953061;1;PTO00067953061;PSIT0000000125;GSIT0000000140;CST;MCO;2023-06-26 00-00-00;E;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00036376281;;;CT-2568-9213;36376281;0;PTO00036376281;PSIT0000000125;GSIT0000000140;CST;REC;2022-11-05 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00049362881;;;CT-2568-6122;49362881;0;PTO00049362881;PSIT0000000125;GSIT0000000140;CST;REC;2022-02-09 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00036083031;;;CT-2568-5649;36083031;0;PTO00036083031;PSIT0000000125;GSIT0000000140;CST;REC;2021-11-10 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00100478531;;;WI-B232-3597;100478531;0;PTO00100478531;PSIT0000000125;GSIT0000000140;CST;REC;2025-02-05 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00035889511;;;CT-2568-8817;35889511;0;PTO00035889511;PSIT0000000125;GSIT0000000140;CST;REC;2022-04-20 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00043293641;;;CT-2568-8685;43293641;0;PTO00043293641;PSIT0000000125;GSIT0000000140;CST;REC;2023-06-08 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00014966841;;;CT-2568-6045;14966841;0;PTO00014966841;PSIT0000000125;GSIT0000000140;CST;REC;2020-10-06 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00045812071;;;CT-2568-9103;45812071;1;PTO00045812071;PSIT0000000125;GSIT0000000140;CST;MCO;2021-05-05 00-00-00;E;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00045822191;;;CT-2568-9070;45822191;1;PTO00045822191;PSIT0000000125;GSIT0000000140;CST;MCO;2020-07-01 00-00-00;E;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00045811411;;;CT-2568-9092;45811411;0;PTO00045811411;PSIT0000000125;GSIT0000000140;CST;REC;2020-10-07 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00045832391;;;CT-2568-9125;45832391;0;PTO00045832391;PSIT0000000125;GSIT0000000140;CST;REC;2023-04-15 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00010778611;;;CT-2568-8861;10778611;0;PTO00010778611;PSIT0000000125;GSIT0000000140;CST;REC;2020-07-16 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00010723651;;;CT-2568-8883;10723651;0;PTO00010723651;PSIT0000000125;GSIT0000000140;CST;REC;2021-05-19 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00098946981;;;WI-B226-3669;98946981;0;PTO00098946981;PSIT0000000125;GSIT0000000140;CST;REC;2024-12-02 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00093649501;;;WI-B207-0949;93649501;0;PTO00093649501;PSIT0000000125;GSIT0000000140;CST;REC;2024-05-24 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00046127551;;;CT-2568-7893;46127551;0;PTO00046127551;PSIT0000000125;GSIT0000000140;CST;REC;2021-01-19 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00047520111;;;CT-2568-5594;47520111;0;PTO00047520111;PSIT0000000125;GSIT0000000140;CST;REC;2020-07-06 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00092970041;;;WI-B200-7886;92970041;0;PTO00092970041;PSIT0000000125;GSIT0000000140;CST;REC;2024-04-20 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00082953611;;;WI-B182-4747;82953611;0;PTO00082953611;PSIT0000000125;GSIT0000000140;CST;REC;2023-09-08 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00050292281;;;CT-2568-6826;50292281;0;PTO00050292281;PSIT0000000125;GSIT0000000140;CST;REC;2021-12-02 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
PTO00034261011;;;CT-2568-5836;34261011;0;PTO00034261011;PSIT0000000125;GSIT0000000140;CST;REC;2020-06-30 00-00-00;S;DTI1;PTO;PTO00000005100;;;;;;;;;;;;;;;;;
