fo_code;fo_cb_code;fo_nincab;fo_numtub;fo_nintub;fo_etat;fo_code_ext;fo_color;fo_reper;fo_proptyp;fo_comment;fo_creadat;fo_majdate;fo_majsrc;fo_abddate;fo_abdsrc
FOCR0000000193;CR000092320741;1;1;1;OK;;;;;;;;;;
FOCR0000000194;CR000048216971;1;1;1;OK;;;;;;;;;;
FOCR0000000195;CR000000357131;1;1;1;OK;;;;;;;;;;
FOCR0000000196;CR000097661921;1;1;1;OK;;;;;;;;;;
FOCR0000000197;CR000089668461;1;1;1;OK;;;;;;;;;;
FOCR0000000198;CR000049362571;1;1;1;OK;;;;;;;;;;
FOCR0000000199;CR000098973781;1;1;1;OK;;;;;;;;;;
FOCR0000000200;CR000014966841;1;1;1;OK;;;;;;;;;;
FOCR0000000201;CR000016345821;1;1;1;OK;;;;;;;;;;
FOCR0000000202;CR000010882161;1;1;1;OK;;;;;;;;;;
FOCR0000000203;CR000047954911;1;1;1;OK;;;;;;;;;;
FOCR0000000204;CR000050292061;1;1;1;OK;;;;;;;;;;
FOCR0000000205;CR000000275671;1;1;1;OK;;;;;;;;;;
FOCR0000000206;CR000043413211;1;1;1;OK;;;;;;;;;;
FOCR0000000207;CR000014646641;1;1;1;OK;;;;;;;;;;
FOCR0000000208;CR000043325331;1;1;1;OK;;;;;;;;;;
FOCR0000000209;CR000049365051;1;1;1;OK;;;;;;;;;;
FOCR0000000210;CR000016085541;1;1;1;OK;;;;;;;;;;
FOCR0000000211;CR000044264761;1;1;1;OK;;;;;;;;;;
FOCR0000000212;CR000049299031;1;1;1;OK;;;;;;;;;;
FOCR0000000213;CR000052141771;1;1;1;OK;;;;;;;;;;
FOCR0000000214;CR000019638611;1;1;1;OK;;;;;;;;;;
FOCR0000000215;CR000049362961;1;1;1;OK;;;;;;;;;;
FOCR0000000216;CR000000294851;1;1;1;OK;;;;;;;;;;
FOCR0000000217;CR000002845661;1;1;1;OK;;;;;;;;;;
FOCR0000000218;CR000016204641;1;1;1;OK;;;;;;;;;;
FOCR0000000219;CR000035980631;1;1;1;OK;;;;;;;;;;
FOCR0000000220;CR000014985191;1;1;1;OK;;;;;;;;;;
FOCR0000000221;CR000000242651;1;1;1;OK;;;;;;;;;;
FOCR0000000222;CR000047601611;1;1;1;OK;;;;;;;;;;
FOCR0000000223;CR000047657681;1;1;1;OK;;;;;;;;;;
FOCR0000000224;CR000092294181;1;1;1;OK;;;;;;;;;;
FOCR0000000225;CR000041137041;1;1;1;OK;;;;;;;;;;
FOCR0000000226;CR000093540601;1;1;1;OK;;;;;;;;;;
FOCR0000000227;CR000044259861;1;1;1;OK;;;;;;;;;;
FOCR0000000228;CR000036200891;1;1;1;OK;;;;;;;;;;
FOCR0000000229;CR000083418951;1;1;1;OK;;;;;;;;;;
FOCR0000000230;CR000046127551;1;1;1;OK;;;;;;;;;;
FOCR0000000231;CR000043377221;1;1;1;OK;;;;;;;;;;
FOCR0000000232;CR000002845811;1;1;1;OK;;;;;;;;;;
FOCR0000000233;CR000034302861;1;1;1;OK;;;;;;;;;;
FOCR0000000234;CR000037530741;1;1;1;OK;;;;;;;;;;
FOCR0000000235;CR000088050501;1;1;1;OK;;;;;;;;;;
FOCR0000000236;CR000043310341;1;1;1;OK;;;;;;;;;;
FOCR0000000237;CR000098946981;1;1;1;OK;;;;;;;;;;
FOCR0000000238;CR000087528881;1;1;1;OK;;;;;;;;;;
FOCR0000000239;CR000087846951;1;1;1;OK;;;;;;;;;;
FOCR0000000240;CR000048440741;1;1;1;OK;;;;;;;;;;
FOCR0000000241;CR000094627691;1;1;1;OK;;;;;;;;;;
FOCR0000000242;CR000036107921;1;1;1;OK;;;;;;;;;;
FOCR0000000243;CR000092970041;1;1;1;OK;;;;;;;;;;
FOCR0000000244;CR000044271571;1;1;1;OK;;;;;;;;;;
FOCR0000000245;CR000092328751;1;1;1;OK;;;;;;;;;;
FOCR0000000246;CR000043362121;1;1;1;OK;;;;;;;;;;
FOCR0000000247;CR000009110631;1;1;1;OK;;;;;;;;;;
FOCR0000000248;CR000046574981;1;1;1;OK;;;;;;;;;;
FOCR0000000249;CR000036376281;1;1;1;OK;;;;;;;;;;
FOCR0000000250;CR000015650451;1;1;1;OK;;;;;;;;;;
FOCR0000000251;CR000049296501;1;1;1;OK;;;;;;;;;;
FOCR0000000252;CR000048026691;1;1;1;OK;;;;;;;;;;
FOCR0000000253;CR000023312481;1;1;1;OK;;;;;;;;;;
FOCR0000000254;CR000049362851;1;1;1;OK;;;;;;;;;;
FOCR0000000255;CR000004750861;1;1;1;OK;;;;;;;;;;
FOCR0000000256;CR000049280251;1;1;1;OK;;;;;;;;;;
FOCR0000000257;CR000079772291;1;1;1;OK;;;;;;;;;;
FOCR0000000258;CR000014869851;1;1;1;OK;;;;;;;;;;
FOCR0000000259;CR000034261061;1;1;1;OK;;;;;;;;;;
FOCR0000000260;CR000045785011;1;1;1;OK;;;;;;;;;;
FOCR0000000261;CR000041380651;1;1;1;OK;;;;;;;;;;
FOCR0000000262;CR000032916761;1;1;1;OK;;;;;;;;;;
FOCR0000000263;CR000047946921;1;1;1;OK;;;;;;;;;;
FOCR0000000264;CR000034208541;1;1;1;OK;;;;;;;;;;
FOCR0000000265;CR000032965411;1;1;1;OK;;;;;;;;;;
FOCR0000000266;CR000036200831;1;1;1;OK;;;;;;;;;;
FOCR0000000267;CR000049390191;1;1;1;OK;;;;;;;;;;
FOCR0000000268;CR000087627821;1;1;1;OK;;;;;;;;;;
FOCR0000000269;CR000069012741;1;1;1;OK;;;;;;;;;;
FO000000000001;FI000016331598;22;4;4;OK;;;;;;;;;;
FO000000000002;FI000021429285;4;1;4;OK;;;;;;;;;;
FO000000000003;FI000016331580;111;19;3;OK;;;;;;;;;;
FO000000000004;FI000016330916;27;3;3;OK;;;;;;;;;;
FO000000000005;FI000016331574;10;2;4;OK;;;;;;;;;;
FO000000000006;FI000016331583;18;3;6;OK;;;;;;;;;;
FO000000000007;FI000016331567;38;7;2;OK;;;;;;;;;;
FO000000000008;FI000016331585;36;6;6;OK;;;;;;;;;;
FO000000000009;FI000016326469;60;5;12;OK;;;;;;;;;;
FO000000000010;FI000016331598;109;19;1;OK;;;;;;;;;;
FO000000000011;FI000016331597;193;17;1;OK;;;;;;;;;;
FO000000000012;FI000016331599;24;2;12;OK;;;;;;;;;;
FO000000000013;FI000020893234;9;2;3;OK;;;;;;;;;;
FO000000000014;FI000016331576;26;5;2;OK;;;;;;;;;;
FO000000000015;FI000016326469;99;9;3;OK;;;;;;;;;;
FO000000000016;FI000016329766;27;5;3;OK;;;;;;;;;;
FO000000000017;FI000044404930;182;16;2;OK;;;;;;;;;;
FO000000000018;FI000016331582;18;3;6;OK;;;;;;;;;;
FO000000000019;FI000016326479;42;7;6;OK;;;;;;;;;;
FO000000000020;FI000016181799;11;1;11;OK;;;;;;;;;;
FO000000000021;FI000016326469;102;9;6;OK;;;;;;;;;;
FO000000000022;FI000016331598;78;13;6;OK;;;;;;;;;;
FO000000000023;FI000016331585;38;7;2;OK;;;;;;;;;;
FO000000000024;FI000016329766;28;5;4;OK;;;;;;;;;;
FO000000000025;FI000016331598;125;21;5;OK;;;;;;;;;;
FO000000000026;FI000016331573;5;1;5;OK;;;;;;;;;;
FO000000000027;FI000016329775;29;5;5;OK;;;;;;;;;;
FO000000000028;FI000016330919;36;6;6;OK;;;;;;;;;;
FO000000000029;FI000016181800;18;2;6;OK;;;;;;;;;;
FO000000000030;FI000016326469;212;18;8;OK;;;;;;;;;;
FO000000000031;FI000016331599;56;5;8;OK;;;;;;;;;;
FO000000000032;FI000016331597;166;14;10;OK;;;;;;;;;;
FO000000000033;FI000016330916;97;9;1;OK;;;;;;;;;;
FO000000000034;FI000016329775;28;5;4;OK;;;;;;;;;;
FO000000000035;FI000016331597;207;18;3;OK;;;;;;;;;;
FO000000000036;FI000016326469;261;22;9;OK;;;;;;;;;;
FO000000000037;FI000016331581;46;8;4;OK;;;;;;;;;;
FO000000000038;FI000016330916;3;1;3;OK;;;;;;;;;;
FO000000000039;FI000017479078;23;4;5;OK;;;;;;;;;;
FO000000000040;FI000016331599;229;20;1;OK;;;;;;;;;;
FO000000000041;FI000016331565;24;4;6;OK;;;;;;;;;;
FO000000000042;FI000016331565;42;7;6;OK;;;;;;;;;;
FO000000000043;FI000016331580;124;21;4;OK;;;;;;;;;;
FO000000000044;FI000016329773;43;8;1;OK;;;;;;;;;;
FO000000000045;FI000016330921;57;10;3;OK;;;;;;;;;;
FO000000000046;FI000016331599;108;9;12;OK;;;;;;;;;;
FO000000000047;FI000016326469;114;10;6;OK;;;;;;;;;;
FO000000000048;FI000016326480;48;8;6;OK;;;;;;;;;;
FO000000000049;FI000016331597;97;9;1;OK;;;;;;;;;;
FO000000000050;FI000016326475;12;2;6;OK;;;;;;;;;;
FO000000000051;FI000016326476;20;4;2;OK;;;;;;;;;;
FO000000000052;FI000016331565;22;4;4;OK;;;;;;;;;;
FO000000000053;FI000016331576;20;4;2;OK;;;;;;;;;;
FO000000000054;FI000016331590;21;4;3;OK;;;;;;;;;;
FO000000000055;FI000016330921;47;8;5;OK;;;;;;;;;;
FO000000000056;FI000016326469;189;16;9;OK;;;;;;;;;;
FO000000000057;FI000016330921;55;10;1;OK;;;;;;;;;;
FO000000000058;FI000016330926;21;4;3;OK;;;;;;;;;;
FO000000000059;FI000016177447;164;14;8;OK;;;;;;;;;;
FO000000000060;FI000016329766;20;4;2;OK;;;;;;;;;;
FO000000000061;FI000016331592;46;8;4;OK;;;;;;;;;;
FO000000000062;FI000016331572;5;1;5;OK;;;;;;;;;;
FO000000000063;FI000016326469;31;3;7;OK;;;;;;;;;;
FO000000000064;FI000016331580;38;7;2;OK;;;;;;;;;;
FO000000000065;FI000016331597;13;2;1;OK;;;;;;;;;;
FO000000000066;FI000016331597;238;20;10;OK;;;;;;;;;;
FO000000000067;FI000016331599;120;10;12;OK;;;;;;;;;;
FO000000000068;FI000016331587;52;9;4;OK;;;;;;;;;;
FO000000000069;FI000044404929;195;17;3;OK;;;;;;;;;;
FO000000000070;FI000016181800;12;1;12;OK;;;;;;;;;;
FO000000000071;FI000016331566;18;3;6;OK;;;;;;;;;;
FO000000000072;FI000016331597;230;20;2;OK;;;;;;;;;;
FO000000000073;FI000016331580;39;7;3;OK;;;;;;;;;;
FO000000000074;FI000016329767;24;4;6;OK;;;;;;;;;;
FO000000000075;FI000016331599;77;7;5;OK;;;;;;;;;;
FO000000000076;FI000016331557;15;3;3;OK;;;;;;;;;;
FO000000000077;FI000016329770;24;4;6;OK;;;;;;;;;;
FO000000000078;FI000016331597;229;20;1;OK;;;;;;;;;;
FO000000000079;FI000016331587;11;2;5;OK;;;;;;;;;;
FO000000000080;FI000020893234;1;1;1;OK;;;;;;;;;;
FO000000000081;FI000016181799;12;1;12;OK;;;;;;;;;;
FO000000000082;FI000016330916;139;12;7;OK;;;;;;;;;;
FO000000000083;FI000016330916;14;2;2;OK;;;;;;;;;;
FO000000000084;FI000016326479;48;8;6;OK;;;;;;;;;;
FO000000000085;FI000016330916;24;2;12;OK;;;;;;;;;;
FO000000000086;FI000016331583;54;9;6;OK;;;;;;;;;;
FO000000000087;FI000016330920;59;10;5;OK;;;;;;;;;;
FO000000000088;FI000020893235;4;1;4;OK;;;;;;;;;;
FO000000000089;FI000016331595;38;7;2;OK;;;;;;;;;;
FO000000000090;FI000016329766;17;3;5;OK;;;;;;;;;;
FO000000000091;FI000016326469;165;14;9;OK;;;;;;;;;;
FO000000000092;FI000016331599;262;22;10;OK;;;;;;;;;;
FO000000000093;FI000016331590;24;4;6;OK;;;;;;;;;;
FO000000000094;FI000016331580;71;12;5;OK;;;;;;;;;;
FO000000000095;FI000016331592;25;5;1;OK;;;;;;;;;;
FO000000000096;FI000016331585;35;6;5;OK;;;;;;;;;;
FO000000000097;FI000016331599;5;1;5;OK;;;;;;;;;;
FO000000000098;FI000016331581;20;4;2;OK;;;;;;;;;;
FO000000000099;FI000016326469;73;7;1;OK;;;;;;;;;;
FO000000000100;FI000016330915;53;9;5;OK;;;;;;;;;;
FO000000000101;FI000016329774;29;5;5;OK;;;;;;;;;;
FO000000000102;FI000016331598;121;21;1;OK;;;;;;;;;;
FO000000000103;FI000016181800;3;1;3;OK;;;;;;;;;;
FOCR0000000001;CR000041488951;1;1;1;OK;;;;;;;;;;
FOCR0000000002;CR000002690281;1;1;1;OK;;;;;;;;;;
FOCR0000000003;CR000050645261;1;1;1;OK;;;;;;;;;;
FOCR0000000004;CR000043396281;1;1;1;OK;;;;;;;;;;
FOCR0000000005;CR000051226501;1;1;1;OK;;;;;;;;;;
FOCR0000000006;CR000033122201;1;1;1;OK;;;;;;;;;;
FOCR0000000007;CR000095545291;1;1;1;OK;;;;;;;;;;
FOCR0000000008;CR000043377121;1;1;1;OK;;;;;;;;;;
FOCR0000000009;CR000046263881;1;1;1;OK;;;;;;;;;;
FOCR0000000010;CR000048250201;1;1;1;OK;;;;;;;;;;
FOCR0000000011;CR000087311521;1;1;1;OK;;;;;;;;;;
FOCR0000000012;CR000043310261;1;1;1;OK;;;;;;;;;;
FOCR0000000013;CR000033016381;1;1;1;OK;;;;;;;;;;
FOCR0000000014;CR000034261011;1;1;1;OK;;;;;;;;;;
