lc_code;lc_bp_codf;lc_bp_codp;lc_codeext;lc_abandon;lc_prop;lc_gest;lc_statut;lc_dateins;lc_elec;lc_bat;lc_escal;lc_etage;lc_avct;lc_perirec;lc_etiquet;lc_st_code;lc_typelog;lc_proptyp;lc_user;lc_etat;lc_datemes;lc_local;lc_clim;lc_occp;lc_idmajic;lc_abddate;lc_abdsrc;lc_comment;lc_creadat;lc_majdate;lc_majsrc
PTO00086462491;BL000008075054;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-300340000099;FTTH;;;;;;;;;;;;;;
PTO00002841381;BL000008075731;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30034000007W;FTTH;;;;;;;;;;;;;;
PTO00002722951;BL000008075731;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30034000007Y;FTTH;;;;;;;;;;;;;;
PTO00002690431;BL000008075731;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30034000007X;FTTH;;;;;;;;;;;;;;
PTO00036200891;BL000008074735;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-300340000069;FTTH;;;;;;;;;;;;;;
PTO00005797511;BL000008075692;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30034000008Y;FTTH;;;;;;;;;;;;;;
PTO00039368931;BL000008075699;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30034000000A;FTTH;;;;;;;;;;;;;;
PTO00010745431;BL000008075676;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30034000004Z;FTTH;;;;;;;;;;;;;;
PTO00088507581;BL000008075358;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30034000001Z;FTTH;;;;;;;;;;;;;;
PTO00044259901;BL000008075346;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30034000008D;FTTH;;;;;;;;;;;;;;
PTO00096192591;BL000008075352;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30034000005K;FTTH;;;;;;;;;;;;;;
PTO00083359791;BL000017660965;;;0;;;;;;;ESCALIER-1;ETAGE-RDC;;;;IM00000000000000000000000ID-30034000000N;FTTH;;;;;;;;;;;;;;
PTO00044264761;BL000008075689;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30034000004B;FTTH;;;;;;;;;;;;;;
PTO00067808191;BL000008075689;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30034000004A;FTTH;;;;;;;;;;;;;;
PTO00094229641;BL000008075347;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-300340000037;FTTH;;;;;;;;;;;;;;
PTO00095427861;BL000008075347;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30034000006H;FTTH;;;;;;;;;;;;;;
PTO00000255101;BL000008075666;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30034000006Y;FTTH;;;;;;;;;;;;;;
