lv_id;lv_cb_code;lv_nd_code;lv_long;lv_creadat;lv_majdate;lv_majsrc;lv_abddate;lv_abdsrc
29;CR000010723651;IM00000000000000000000000ID-30034000005P;0;;;;;
30;CR000049002681;IM00000000000000000000000ID-30034000008F;0;;;;;
31;CR000048322231;IM00000000000000000000000ID-30034000008B;0;;;;;
32;CR000095545291;IM00000000000000000000000ID-30034000005L;0;;;;;
33;CR000047657681;IM00000000000000000000000ID-300340000016;0;;;;;
34;CR000000475371;IM00000000000000000000000ID-30034000003G;0;;;;;
35;CR000010745431;IM00000000000000000000000ID-30034000004Z;0;;;;;
36;CR000000242601;IM00000000000000000000000ID-300340000027;0;;;;;
37;CR000049365051;IM00000000000000000000000ID-30034000004S;0;;;;;
38;CR000093042371;IM00000000000000000000000ID-30034000007K;0;;;;;
39;CR000037543281;IM00000000000000000000000ID-300340000091;0;;;;;
40;CR000043310261;IM00000000000000000000000ID-30034000007E;0;;;;;
41;CR000045812071;IM00000000000000000000000ID-30034000005Y;0;;;;;
42;CR000034391721;IM00000000000000000000000ID-300340000075;0;;;;;
43;CR000032916761;IM00000000000000000000000ID-300340000063;0;;;;;
44;FI000016177447;CH000003986241;0;;;;;
45;FI000016330919;CH000004314235;0;;;;;
46;FI000016329765;CH000004312628;0;;;;;
47;FI000016331561;SU000003487041;0;;;;;
48;FI000016331594;SU000005302734;0;;;;;
49;FI000044404930;CH000009567345;0;;;;;
50;FI000020893234;CH000004321919;0;;;;;
51;FI000016326471;SU000000872340;0;;;;;
52;FI000027686513;CH000003986228;0;;;;;
53;FI000016329768;CH000004321293;0;;;;;
54;FI000016329774;CH000006428786;0;;;;;
55;FI000016330922;CH000004310741;0;;;;;
56;CR000034237181;IM00000000000000000000000ID-300340000096;0;;;;;
57;CR000032965411;IM00000000000000000000000ID-300340000020;0;;;;;
58;CR000050765591;IM00000000000000000000000ID-30034000003B;0;;;;;
59;CR000092707671;IM00000000000000000000000ID-30034000000T;0;;;;;
60;CR000043350541;IM00000000000000000000000ID-30034000007F;0;;;;;
61;CR000092308711;IM00000000000000000000000ID-30034000003X;0;;;;;
62;CR000036200831;IM00000000000000000000000ID-30034000006D;0;;;;;
63;CR000035466761;IM00000000000000000000000ID-30034000000N;0;;;;;
64;CR000004750861;IM00000000000000000000000ID-30034000005A;0;;;;;
65;CR000002722861;IM00000000000000000000000ID-30034000004Y;0;;;;;
66;CR000049299031;IM00000000000000000000000ID-30034000006M;0;;;;;
67;CR000092970041;IM00000000000000000000000ID-300340000014;0;;;;;
68;CR000039368931;IM00000000000000000000000ID-30034000000A;0;;;;;
69;CR000049390161;IM00000000000000000000000ID-30034000004R;0;;;;;
70;CR000043304161;IM00000000000000000000000ID-30034000026Y;0;;;;;
71;CR000041380651;IM00000000000000000000000ID-30034000002J;0;;;;;
72;CR000087311521;IM00000000000000000000000ID-30034000002F;0;;;;;
73;CR000044269691;IM00000000000000000000000ID-30034000003S;0;;;;;
74;CR000098603311;IM00000000000000000000000ID-300340000066;0;;;;;
75;CR000032971401;IM00000000000000000000000ID-30034000001Y;0;;;;;
76;CR000067953061;IM00000000000000000000000ID-30034000001M;0;;;;;
77;CR000043413211;IM00000000000000000000000ID-30034000005X;0;;;;;
78;CR000052042101;IM00000000000000000000000ID-30034000001F;0;;;;;
79;CR000015070451;IM00000000000000000000000ID-300340000271;0;;;;;
80;CR000043355821;IM00000000000000000000000ID-300340000051;0;;;;;
81;CR000048236221;IM00000000000000000000000ID-30034000008R;0;;;;;
