ps_code;ps_1;ps_2;ps_numero;ps_cs_code;ps_type;ps_fonct;ps_preaff;ps_ti_code;ps_etat;ps_usetype;ps_comment;ps_creadat;ps_majdate;ps_majsrc;ps_abddate;ps_abdsrc
PS000000000081;FO000000002102;FO000000002981;3;CVEN0012032193;SFU;EP;;;;;;;;;;
PS000000000082;FO000000001705;FO000000001150;4;CVEN0012032193;SFU;EP;;;;;;;;;;
PS000000000083;FO000000000679;FO000000002805;5;CVEN0012032193;SFU;EP;;;;;;;;;;
PS000000000084;FO000000000676;FO000000001885;6;CVEN0012032193;SFU;EP;;;;;;;;;;
PS000000000085;FO000000000961;FO000000000651;7;CVEN0012032193;SFU;EP;;;;;;;;;;
PS000000000086;FO000000001911;FO000000000714;8;CVEN0012032193;SFU;EP;;;;;;;;;;
PS000000000087;FO000000002981;FO000000002102;9;CVEN0012032193;SFU;EP;;;;;;;;;;
PS000000000088;FO000000000246;FO000000002590;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000089;FO000000002864;FO000000003019;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000090;FO000000002193;FO000000000720;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000091;FO000000002995;FO000000000763;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000092;FO000000001028;FO000000002488;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000093;FO000000000584;FO000000000556;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000094;FO000000002712;FO000000000063;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000095;FO000000001716;FO000000002118;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000096;FO000000001047;FO000000003005;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000097;FO000000002197;FO000000001275;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000098;FO000000002656;FO000000000575;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000099;FO000000002373;FO000000002511;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000100;FO000000001635;FO000000002785;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000101;FO000000002635;FO000000001623;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000102;FO000000000136;FO000000001396;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000103;FO000000001921;FO000000001504;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000104;FO000000000155;FO000000000753;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000105;FO000000000188;FO000000001696;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000106;FO000000002301;FO000000001603;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000107;FO000000002561;FO000000002238;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000108;FO000000001362;FO000000001663;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000109;FO000000001780;FO000000001245;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000110;FO000000002110;FO000000001378;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000111;FO000000002799;FO000000001986;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000112;FO000000001215;FO000000000713;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000113;FO000000000952;FO000000002916;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000114;FO000000001897;FO000000001073;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000115;FO000000002279;FO000000001931;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000116;FO000000001460;FO000000000682;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000117;FO000000000240;FO000000002061;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000118;FO000000001371;FO000000000253;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000119;FO000000000031;FO000000002609;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000120;FO000000001511;FO000000000999;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000121;FO000000003023;FO000000000203;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000122;FO000000002145;FO000000002719;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000123;FO000000000149;FO000000000009;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000124;FO000000000579;FO000000002120;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000125;FO000000001232;FO000000000817;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000126;FO000000002773;FO000000002893;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000127;FO000000002433;FO000000000326;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000128;FO000000001368;FO000000002573;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000129;FO000000000975;FO000000002952;0;CVEN0012032193;LB;PA;;;;;;;;;;
PS000000000130;FO000000002168;FO000000000329;0;CVEN0012032193;LB;PA;;;;;;;;;;
