pt_code;pt_codeext;pt_abandon;pt_etiquet;pt_perirec;pt_nd_code;pt_prop;pt_gest;pt_proptyp;pt_statut;pt_avct;pt_typephy;pt_nature;pt_secu;pt_a_struc;pt_a_haut;pt_nomvoie;pt_insee;pt_commune;pt_numero;pt_rep;pt_ad_code;pt_gest_do;pt_prop_do;pt_user;pt_etat;pt_datemes;pt_typelog;pt_rf_code;pt_occp;pt_a_dan;pt_a_dtetu;pt_a_passa;pt_a_strat;pt_detec;pt_local;pt_postal;pt_section;pt_idpar;pt_comment;pt_creadat;pt_majdate;pt_majsrc;pt_abddate;pt_abdsrc
HU000013076761;13076761;0;PBO-SRO-BPI-11365657-028;;HU000013076761;PSIT0000000125;GSIT0000000140;CST;REC;E;F;IND;0;;;12-14 RUE DE BEAUCAIRE 30127 BELLEGARDE - 07 RUE LA FAYETTE 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
HU000013076746;13076746;0;PBO-SRO-BPI-11365657-051;;HU000013076746;PSIT0000000125;GSIT0000000140;CST;REC;E;F;IND;0;;;01-02 IMPASSE ROUMIEU 30127 BELLEGARDE - 05-5B IMPASSE ROUMIEU 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
HU000013076754;13076754;0;PBO-SRO-BPI-11365657-066;;HU000013076754;PSIT0000000125;GSIT0000000140;CST;REC;E;F;IND;0;;;30B-32 RUE DE BEAUCAIRE 30127 BELLEGARDE - 01 RUE DE L ESPERANCE 30127 BELLEGARDE - 2B RUE PARADIS 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
HU000023189685;23189685;0;PBO-SRO-BPI-11365657-047;;HU000023189685;PSIT0000000125;GSIT0000000140;CST;REC;E;F;IND;0;;;18 RUE DE BEAUCAIRE 30127 BELLEGARDE - 03-05 IMPASSE ROUMIEU 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000000871043;871043;0;PT-30034-000493574-FT;;SU000000871043;PROP0000000003;GEST0000000003;LOC;REC;E;A;PIND;0;Moisé;7;14 RUE DE L ESPERANCE 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000003482565;3482565;0;PT-30034-000493578-FT;;SU000003482565;PROP0000000003;GEST0000000003;LOC;REC;E;A;IND;0;Moisé;7;0005 / 30034 / BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000005302734;5302734;0;PT-30127-5302734-FT;;SU000005302734;PROP0000000098;GEST0000000092;LOC;REC;E;A;IND;0;Moisé;10;01 RUE DES AIRES 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000005304641;5304641;0;PT-30127-5304641-FT;;SU000005304641;PROP0000000098;GEST0000000092;LOC;REC;E;A;IND;0;Moisé;10;20 RUE DE L ESPERANCE 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000006076482;6076482;0;POTELET;;SU000006076482;PROP0000000003;GEST0000000003;LOC;REC;E;A;IND;0;Moisé;7;0005 / 30034 / BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000000540163;540163;0;PT-30034-001808596-FT;;SU000000540163;PROP0000000003;GEST0000000003;LOC;REC;E;A;IND;0;Moisé;7;670 Avenue du Félibrige, 30127 Bellegarde;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000003487041;3487041;0;PT-30034-001104112-FT;;SU000003487041;PROP0000000003;GEST0000000003;LOC;REC;E;A;IND;0;Moisé;6;B193 / 30034 / BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000005016647;5016647;0;Pole5016647;;SU000005016647;PROP0000000098;GEST0000000092;LOC;REC;E;A;IND;0;Moisé;12;30034/0055/BELLEGRADE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000000862095;862095;0;PT-30034-000493582-FT;;SU000000862095;PROP0000000003;GEST0000000003;LOC;REC;E;A;PIND;0;Moisé;7;9 RUE DES AIRES 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000000880005;880005;0;PT-30034-001104115-FT;;SU000000880005;PROP0000000003;GEST0000000003;LOC;REC;E;A;PIND;0;Moisé;7;RUE DE L ESPERANCE  30034  BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000005302735;5302735;0;PT-30127-5302735-FT;;SU000005302735;PROP0000000098;GEST0000000092;LOC;REC;E;A;IND;0;Moisé;10;20 RUE DE L ESPERANCE 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000005302724;5302724;0;PT-30127-000493567-FT;;SU000005302724;PROP0000000003;GEST0000000003;LOC;REC;E;A;IND;0;Moisé;8;34 RUE DE BEAUCAIRE 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000000880004;880004;0;PT-30034-001104114-FT;;SU000000880004;PROP0000000003;GEST0000000003;LOC;REC;E;A;PIND;0;Moisé;7;5 RUE DE L ESPERANCE, 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000000872341;872341;0;PT-30034-000493566-FT;;SU000000872341;PROP0000000003;GEST0000000003;LOC;REC;E;A;PIND;0;Moisé;7;27B RUE DE BEAUCAIRE 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000005302726;5302726;0;PT-30127-5302726-BT;;SU000005302726;PROP0000000003;GEST0000000003;LOC;REC;E;A;IND;0;Moisé;10;IMPASSE DES SAULES 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000005016646;5016646;0;Pole5016646;;SU000005016646;PROP0000000098;GEST0000000092;LOC;REC;E;A;IND;0;Moisé;12;30034/0055/BELLEGRADE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000005302725;5302725;0;PT-30127-000493567-BT;;SU000005302725;PROP0000000098;GEST0000000092;LOC;REC;E;A;IND;0;Moisé;10;280 Rue du Moulin À Vent, 30127 Bellegarde;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000000864973;864973;0;PT-30034-000491551-FT;;SU000000864973;PROP0000000003;GEST0000000003;LOC;REC;E;A;PIND;0;Moisé;7;AVENUE DU FELIBRIGE, 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000000871042;871042;0;PT-30034-000493569-FT;;SU000000871042;PROP0000000003;GEST0000000003;LOC;REC;E;A;PIND;0;Moisé;7;4 RUE DE L'ESPÉRANCE 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000000872340;872340;0;PT-30034-000493565-FT;;SU000000872340;PROP0000000003;GEST0000000003;LOC;REC;E;A;PIND;0;Moisé;7;384 RUE DU MOULIN A VENT 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000000871044;871044;0;PT-30034-000493580-FT;;SU000000871044;PROP0000000003;GEST0000000003;LOC;REC;E;A;PIND;0;Moisé;7;RUE DES AIRES 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000000873284;873284;0;PT-30034-000491625-FT;;SU000000873284;PROP0000000003;GEST0000000003;LOC;REC;E;A;PIND;0;Moisé;7;AV DU FELIBRIGE 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000006076481;6076481;0;POTELET;;SU000006076481;PROP0000000003;GEST0000000003;LOC;REC;E;A;IND;0;Moisé;7;0005 / 30034 / BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000000864665;864665;0;PT-30034-000493576-FT;;SU000000864665;PROP0000000003;GEST0000000003;LOC;REC;E;A;PIND;0;Moisé;7;30 RUE DE BEAUCAIRE 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000000878402;878402;0;PT-30034-000491737-FT;;SU000000878402;PROP0000000003;GEST0000000003;LOC;REC;E;A;PIND;0;Moisé;7;REDONNES ET REBEYRES 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000000870731;870731;0;PT-30034-000491552-FT;;SU000000870731;PROP0000000003;GEST0000000003;LOC;REC;E;A;PIND;0;Moisé;7;AVENUE DU FELIBRIGE 30127 BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
SU000005029761;5029761;0;PT-30034-5029761-BT;;SU000005029761;PROP0000000098;GEST0000000092;OCC;REC;E;A;IND;0;Moisé;10;Bellegarde;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
PA000040202232;40202232;0;;;PA000040202232;VIR00000000001;VIR00000000001;CST;REC;E;Z;IND;0;;;Bellegarde;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
PA000040320601;40320601;0;;;PA000040320601;VIR00000000001;VIR00000000001;CST;REC;E;Z;IND;0;;;Bellegarde;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
PA000032867802;32867802;0;;;PA000032867802;VIR00000000001;VIR00000000001;CST;REC;E;Z;IND;0;;;Bellegarde;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
PA000109594091;109594091;0;;;PA000109594091;VIR00000000001;VIR00000000001;CST;REC;E;Z;IND;0;;;Bellegarde;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
PA000032957321;32957321;0;;;PA000032957321;VIR00000000001;VIR00000000001;CST;REC;E;Z;IND;0;;;Bellegarde;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
PA000040202192;40202192;0;;;PA000040202192;VIR00000000001;VIR00000000001;CST;REC;E;Z;IND;0;;;Bellegarde;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
PA000040074612;40074612;0;;;PA000040074612;VIR00000000001;VIR00000000001;CST;REC;E;Z;IND;0;;;Bellegarde;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
PA000033050182;33050182;0;;;PA000033050182;VIR00000000001;VIR00000000001;CST;REC;E;Z;IND;0;;;Fourques;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000003985265;3985265;0;CH-30117-477-FT;;CH000003985265;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;OHN;0;;;0029 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000003985277;3985277;0;CH-30034-207-FT;;CH000003985277;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;OHN;0;;;30034 / BELLEGARDE;30034;Bellegarde;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000003985279;3985279;0;CH-30117-487-FT;;CH000003985279;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;D11;0;;;0009 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000003985586;3985586;0;CH-30117-501-FT;;CH000003985586;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;D12;0;;;0015 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000003985593;3985593;0;CH-30117-507-FT;;CH000003985593;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;D11;0;;;0018 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
