st_code;st_perirec;st_nd_code;st_codeext;st_abandon;st_nra;st_prop;st_gest;st_proptyp;st_statut;st_dateins;st_avct;st_typephy;st_typelog;st_design;st_ad_code;st_postal;st_insee;st_commune;st_nomvoie;st_numero;st_rep;st_nombat;st_nom;st_user;st_etat;st_datemes;st_nblines;st_ban_id;st_section;st_idpar;st_hexacle;st_comment;st_creadat;st_majdate;st_majsrc;st_abddate;st_abdsrc
HU000012858770;;HU000012858770;12858770;0;0;PSIT0000000125;GSIT0000000140;CST;REC;;E;BAT;RESEAU;;;30300;30117;FOURQUES;du vieux Pont;2;;;;;;;;;;;;;;;;;
PE000001909509;;PE000001909509;1909509;0;0;PSIT0000000125;GSIT0000000140;CST;REC;2019-12-24 00:00:00;E;ADR;RESEAU;Ideaoptical Simple peau - IBER-C-1635;;30127;30034;BELLEGARDE;RUE;34;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-300340000011;;IM00000000000000000000000ID-300340000011;ID-300340000011;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-300340000011;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-30034000000N;;IM00000000000000000000000ID-30034000000N;ID-30034000000N;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-30034000000N;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-30034000008W;;IM00000000000000000000000ID-30034000008W;ID-30034000008W;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-30034000008W;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-30034000005R;;IM00000000000000000000000ID-30034000005R;ID-30034000005R;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-30034000005R;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-30034000007K;;IM00000000000000000000000ID-30034000007K;ID-30034000007K;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-30034000007K;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-30034000001S;;IM00000000000000000000000ID-30034000001S;ID-30034000001S;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-30034000001S;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-30034000007E;;IM00000000000000000000000ID-30034000007E;ID-30034000007E;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-30034000007E;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-30034000009C;;IM00000000000000000000000ID-30034000009C;ID-30034000009C;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-30034000009C;;;;;0;;;;;;;;;;;;;;;;;
